Chemical Name,SMILES,Radical Name,Enthalpy,Activation Energy,k_value,Temperature,Bond Dissociation Energy,Chemical Group,Reaction Type/Pathway,PH,No,Resource:,smiles_valid,HOMO_predicted,LUMO_predicted,HOMO_LUMO_gap_predicted
Pentabromoplatinate(III) ion,[Br][Pt+3]([Br])([Br])([Br])[Br],RO2*,,,250000000.0,,,,,,,Journal Tables 6 and 7,True,-7.358104705810547,-2.022606372833252,5.335498332977295
Copper(I) ion,[Cu+],RO2*,,,1000000000.0,,,,,,,Journal Tables 6 and 7,True,-6.497776031494141,0.9515368342399597,7.4493128657341
"2,2'-Azinobis(3-ethylbenzothiazoline-6-sulfonate ion)",CCn1/c(=N\N=c2\sc3cc(S(=O)(=O)[O-])ccc3n2CC)sc2cc(S(=O)(=O)[O-])ccc21,RO2*,,,1800000000.0,,,,,,,Journal Tables 6 and 7,True,-5.530017375946045,-2.464437961578369,3.065579414367676
"2,6-Di-tert-butyl-4-methoxyphenol",COc1cc(C(C)(C)C)cc(C(C)(C)C)c1O,RO2*,,,110000.0,,,,,,,Journal Tables 6 and 7,True,-5.430222988128662,0.13174106180667877,5.561964049935341
"2,6-Di-tert-butyl-4-methylphenol",Cc1cc(C(C)(C)C)cc(C(C)(C)C)c1O,RO2*,,,24000.0,,,,,,,Journal Tables 6 and 7,True,-5.58491849899292,0.04483092203736305,5.629749421030283
"3,4-Dihydro-6-hydroxy-5,7,8-trimethylbenzothiopyran",Cc1c(C)c(O)c2c(c1C)SCCC2,RO2*,,,1800000.0,,,,,,,Journal Tables 6 and 7,True,-5.275632381439209,-0.25471633672714233,5.020916044712067
"1-Ethyl-1,2,3,4-tetrahydro-6-hydroxy-5,7,8-trimethylquinoline",CCN1CCCc2c(C)c(O)c(C)c(C)c21,RO2*,,,2000000.0,,,,,,,Journal Tables 6 and 7,True,-5.303064823150635,-0.17840616405010223,5.1246586591005325
"2,2,5,7,8-Pentamethylbenzopyran-6-ol",CC1=CC(C)(C)Oc2c1cc(O)c(C)c2C,RO2*,,,2000000.0,,,,,,,Journal Tables 6 and 7,True,-5.49946928024292,-0.28662237524986267,5.212846904993057
"4-Methoxy-2,3,5,6-tetramethylphenol",COc1c(C)c(C)c(O)c(C)c1C,RO2*,,,280000.0,,,,,,,Journal Tables 6 and 7,True,-5.4676313400268555,0.5527557730674744,6.02038711309433
"2,3,5,6-Tetramethylphenol",Cc1cc(C)c(C)c(O)c1C,RO2*,,,69000.0,,,,,,,Journal Tables 6 and 7,True,-5.535810947418213,0.4681474268436432,6.003958374261856
gamma-Tocopherol,Cc1cc(O)c(C)c2c1OC(C)(CCCC(C)CCCC(C)CCCC(C)C)CC2,RO2*,,,700000.0,,,,,,,Journal Tables 6 and 7,True,-5.460433483123779,0.3900592625141144,5.850492745637894
delta-Tocopherol,Cc1cc(O)cc2c1OC(C)(CCCC(C)CCCC(C)CCCC(C)C)CC2,RO2*,,,330000.0,,,,,,,Journal Tables 6 and 7,True,-5.551511287689209,0.3075721859931946,5.859083473682404
"Chlorpromazine, conjugate acid",CC(C[NH+](C)C)N1c2ccccc2Sc2ccc(Cl)cc21,RO2*,,,6800000.0,,,,,,,Journal Tables 6 and 7,True,-5.3031744956970215,-0.5184268355369568,4.784747660160065
"6-Hydroxy-2,5,7,8-tetramethylchroman-2-carboxylic acid",Cc1c(C)c(O)c2c(c1C)OC(C)(C(=O)O)CC2,RO2*,,,2000000.0,,,,,,,Journal Tables 6 and 7,True,-5.614285945892334,0.07493281364440918,5.689218759536743
"N,N-Dimethylaniline",CN(C)c1ccccc1,RO2*,,,25000000.0,,,,,,,Journal Tables 6 and 7,True,-5.616539478302002,0.16663481295108795,5.78317429125309
"Tyrosine, negative ion",N[C@@H](Cc1ccc(O)cc1)C(=O)[O-],RO2*,,,120000000.0,,,,,,,Journal Tables 6 and 7,True,-6.421257972717285,-1.472711205482483,4.948546767234802
Chlorite ion,[O-][Cl+][O-],RO2*,,,12000000.0,,,,,,,Journal Tables 6 and 7,True,-7.714695930480957,-0.5619975924491882,7.152698338031769
"Iron(III) deuteroporphyrin, dimethyl ester, (2-propanol)2",COC(=O)CCC1=C(C)c2cc3cc(C)c(cc4cc(C)c(cc5nc(cc1n2)C(CCC(=O)OC)=C5C)[n-]4)[n-]3.[Fe+3].CC(C)O.CC(C)O,RO2*,,,10000000.0,,,,,,,Journal Tables 6 and 7,True,-5.749120235443115,-2.8048839569091797,2.9442362785339355
Iron(III) deuteroporphyrin IX (2-propoxy)(2-propanol),CC1=C(CCC(=O)O)c2cc3nc(cc4[n-]c(cc4C)cc4[n-]c(cc1n2)cc4C)C(C)=C3CCC(=O)O.[Fe+3].CC(C)[O-].CC(C)O,RO2*,,,150000000.0,,,,,,,Journal Tables 6 and 7,True,-5.456484317779541,-2.833054542541504,2.623429775238037
"5,10,15,20-Tetraphenylporphinatogallium(III) ion",C1=CC=C(C=C1)C2=C3C=CC(=C(C4=NC(=C(C5=CC=C([N-]5)C(=C6C=CC2=N6)C7=CC=CC=C7)C8=CC=CC=C8)C=C4)C9=CC=CC=C9)[N-]3.[Ga+3],RO2*,,,800000000.0,,,,,,,Journal Tables 6 and 7,True,-4.804246425628662,-2.830108404159546,1.9741380214691162
"2,3,7,8,12,13,17,18-Octaethylporphinato(carbonyl)cyanoruthenium(II) ion",CCC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)CC)CC)CC)CC)C(=C3CC)CC)CC.[C-]#[O+].[Ru+2].[C-]#N,RO2*,,,1500000000.0,,,,,,,Journal Tables 6 and 7,True,-5.415714740753174,-3.0608513355255127,2.354863405227661
Sulfite Ion,O=S([O-])[O-],RO2*,,,700000000.0,,,,,,,Journal Tables 6 and 7,True,-8.299160957336426,-1.7771004438400269,6.522060513496399
"5,10,15,20-Tetraphenylporphinatozinc(II)",C1=CC=C(C=C1)C2=C3C=CC(=C(C4=NC(=C(C5=CC=C([N-]5)C(=C6C=CC2=N6)C7=CC=CC=C7)C8=CC=CC=C8)C=C4)C9=CC=CC=C9)[N-]3.[Zn+2],RO2*,,,1200000000.0,,,,,,,Journal Tables 6 and 7,True,-4.809457302093506,-2.860405445098877,1.949051856994629
"5,10,15,20-Tetraphenylporphinatozinc(II) pyridine complex",C1=CC=C(C=C1)C2=C3C=CC(=C(C4=NC(=C(C5=CC=C([N-]5)C(=C6C=CC2=N6)C7=CC=CC=C7)C8=CC=CC=C8)C=C4)C9=CC=CC=C9)[N-]3.[Zn+2].n1ccccc1,RO2*,,,20000000.0,,,,,,,Journal Tables 6 and 7,True,-4.851223468780518,-2.876901865005493,1.9743216037750244
"5,10,15,20-Tetrakis(4-pyridyl)porphinatozinc(II)",C1=Cc2nc1c(-c1ccncc1)c1ccc([n-]1)c(-c1ccncc1)c1nc(c(-c3ccncc3)c3ccc([n-]3)c2-c2ccncc2)C=C1.[Zn+2],RO2*,,,15000000.0,,,,,,,Journal Tables 6 and 7,True,-5.26966667175293,-2.6092982292175293,2.6603684425354004
"5,10,15,20-Tetrakis(4-hydroxyphenyl)porphinatozinc(II)",OC1=CC=C(C=C1)C2=C3C=CC(=C(C4=NC(=C(C5=CC=C([N-]5)C(=C6C=CC2=N6)C7=CC=C(C=C7)O)C8=CC=C(C=C8)O)C=C4)C9=CC=C(C=C9)O)[N-]3.[Zn+2],RO2*,,,700000000.0,,,,,,,Journal Tables 6 and 7,True,-5.115387439727783,-3.133683919906616,1.981703519821167
"5,10,15,20-Tetrakis(4-sulfonatophenyl)porphinatozincate(II) ion",O=S(=O)([O-])C1=CC=C(C=C1)C2=C3C=CC(=C(C4=NC(=C(C5=CC=C([N-]5)C(=C6C=CC2=N6)C7=CC=C(C=C7)S(=O)(=O)[O-])C8=CC=C(C=C8)S(=O)(=O)[O-])C=C4)C9=CC=C(C=C9)S(=O)(=O)[O-])[N-]3.[Zn+2],RO2*,,,730000000.0,,,,,,,Journal Tables 6 and 7,True,-5.914092063903809,-3.6529815196990967,2.261110544204712
Ascorbate ion,O=C1O[C@H](CO)OC1=C([O-])CO,RO2*,,,110000000.0,,,,,,,Journal Tables 6 and 7,True,-6.789895057678223,-1.937160849571228,4.852734208106995
Ascorbic acid,O=C1O[C@H](CO)OC1=C(O)CO,RO2*,,,990000000.0,,,,,,,Journal Tables 6 and 7,True,-6.729268550872803,-1.3519814014434814,5.377287149429321
Bilirubin dianion,C=CC1=C(C)/C(=C/C2=C(C)C(CCC(=O)[O-])=C(CC3=C(CCC(=O)[O-])C(C)=C(/C=C4\NC(=O)C(C)=C4C=C)N3)N2)NC1=O,RO2*,,,38000000.0,,,,,,,Journal Tables 6 and 7,True,-5.235981464385986,-2.4937167167663574,2.742264747619629
tert-Butyl-4-hydroxyanisole,COc1cc(C(C)(C)C)ccc1O,RO2*,,,1500000000.0,,,,,,,Journal Tables 6 and 7,True,-5.516030311584473,0.22039669752120972,5.736427009105682
beta-Carotene,CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,RO2*,,,19000000.0,,,,,,,Journal Tables 6 and 7,True,-4.976131916046143,-0.8099607229232788,4.166171193122864
Cholesterol,CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CC[C@]12C,RO2*,,,100000000.0,,,,,,,Journal Tables 6 and 7,True,-5.665802478790283,0.47723808884620667,6.14304056763649
Cyclohexane,C1CCCCC1,RO2*,,,1000000.0,,,,,,,Journal Tables 6 and 7,True,-6.7951436042785645,2.074734926223755,8.86987853050232
Deoxyguanosine 5'-monophosphate,Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)[nH]1,RO2*,,,12000000.0,,,,,,,Journal Tables 6 and 7,True,-5.360153675079346,0.0991823673248291,5.459336042404175
"1,4-Diazabicyclo[2.2.2]octane",C1CN2CCC(C2)N1,RO2*,,,12000000.0,,,,,,,Journal Tables 6 and 7,True,-6.115384578704834,1.972893476486206,8.08827805519104
9-Diazofluorene,[N-]=[N+]=C1c2ccccc2-c2ccccc21,RO2*,,,6100000000.0,,,,,,,Journal Tables 6 and 7,True,-5.913105487823486,-1.8024816513061523,4.110623836517334
"2,4-Di-tert-butylphenol",CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,RO2*,,,490000000.0,,,,,,,Journal Tables 6 and 7,True,-5.704797267913818,-0.03940923139452934,5.665388036519289
"2,3-Dimethyl-4-dimethylamino-1-phenyl-3-pyrazolin-5-one",Cc1c(N(C)C)c(=O)n(C)n1-c1ccccc1,RO2*,,,1200000000.0,,,,,,,Journal Tables 6 and 7,True,-5.445336818695068,-0.41216254234313965,5.033174276351929
"2,3-Dimethylindole",Cc1[nH]c2ccccc2c1C,RO2*,,,6000000.0,,,,,,,Journal Tables 6 and 7,True,-5.414074420928955,0.17158235609531403,5.585656777024269
"3,4-Dimethyl-2-pyrazolin-5-one",CC1=NN=C(C)C1=O,RO2*,,,1300000000.0,,,,,,,Journal Tables 6 and 7,True,-6.06240701675415,-1.8294340372085571,4.232972979545593
Dimethyl sulfide,CSC,RO2*,,,60000000.0,,,,,,,Journal Tables 6 and 7,True,-6.588860988616943,0.19788888096809387,6.786749869585037
"2,5-Diphenylfuran",c1ccc(-c2ccc(-c3ccccc3)o2)cc1,RO2*,,,40000000.0,,,,,,,Journal Tables 6 and 7,True,-5.512416839599609,-0.7972449660301208,4.7151718735694885
Glutathione,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O,RO2*,,,75000.0,,,,,,,Journal Tables 6 and 7,True,-6.362390995025635,-1.0460691452026367,5.316321849822998
Hydroquinone,Oc1ccc(O)cc1,RO2*,,,650000000.0,,,,,,,Journal Tables 6 and 7,True,-5.501092433929443,0.2929626405239105,5.794055074453354
5-Hydroxytryptophan,N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(=O)O,RO2*,,,100000000.0,,,,,,,Journal Tables 6 and 7,True,-5.5741047859191895,-0.7967577576637268,4.777347028255463
Isobarbiturate ion,O=C1CNC(=O)[N-]C1=O,RO2*,,,390000000.0,,,,,,,Journal Tables 6 and 7,True,-7.7479095458984375,-3.115995168685913,4.631914377212524
Linoleic acid,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,RO2*,,,70000000.0,,,,,,,Journal Tables 6 and 7,True,-5.5076093673706055,0.5880710482597351,6.095680415630341
4-Methoxyphenoxide ion,COc1ccc([O-])cc1,RO2*,,,110000000.0,,,,,,,Journal Tables 6 and 7,True,-5.844293594360352,-0.5695485472679138,5.274745047092438
1-Methylindole,Cn1ccc2ccccc21,RO2*,,,600000000.0,,,,,,,Journal Tables 6 and 7,True,-5.526792049407959,-0.06914421916007996,5.457647830247879
2-Methylindole,Cc1cc2ccccc2[nH]1,RO2*,,,900000000.0,,,,,,,Journal Tables 6 and 7,True,-5.452032566070557,-0.16152168810367584,5.290510877966881
3-Methylindole,Cc1c[nH]c2ccccc12,RO2*,,,20000000.0,,,,,,,Journal Tables 6 and 7,True,-5.576211452484131,0.4019396901130676,5.9781511425971985
Methyl 6-(methylthio)norbornane-2-carboxylate,COC(=O)C1C2CC(SC)CC1C2,RO2*,,,70000000.0,,,,,,,Journal Tables 6 and 7,True,-6.1700663566589355,-0.9553101658821106,5.214756190776825
4-Methylphenoxide ion,Cc1ccc([O-])cc1,RO2*,,,300000000.0,,,,,,,Journal Tables 6 and 7,True,-6.2057013511657715,-0.6541063189506531,5.551595032215118
6-(Methylthio)norbornane-2-carboxylic acid,CSC1CC2CC(C1)C2C(=O)O,RO2*,,,100000000.0,,,,,,,Journal Tables 6 and 7,True,-5.988509654998779,-1.142691731452942,4.845817923545837
1-Methyluracil,Cn1ccc(=O)[nH]c1=O,RO2*,,,1300000000.0,,,,,,,Journal Tables 6 and 7,True,-6.423781871795654,-1.0721698999404907,5.351611971855164
"Metiazinic acid, conjugate base",CN1c2ccccc2Sc2cc(CC([O-])=O)ccc21,RO2*,,,1700000.0,,,,,,,Journal Tables 6 and 7,True,-5.445434093475342,-1.7261855602264404,3.7192485332489014
Phenol,Oc1ccccc1,RO2*,,,75000.0,,,,,,,Journal Tables 6 and 7,True,-6.0482707023620605,0.2234601527452469,6.271730855107307
Phenoxide ion,[O-]c1ccccc1,RO2*,,,200000000.0,,,,,,,Journal Tables 6 and 7,True,-6.271254062652588,-1.0360302925109863,5.235223770141602
"Promethazine, conjugate acid",CC(C[NH+](C)C)N1c2ccccc2Sc2ccccc21,RO2*,,,700000.0,,,,,,,Journal Tables 6 and 7,True,-5.094334125518799,-0.39385879039764404,4.700475335121155
"Propyl 3,4,5-trihydroxybenzoate",CCCOC(=O)c1cc(O)c(O)c(O)c1,RO2*,,,7000.0,,,,,,,Journal Tables 6 and 7,True,-5.622185707092285,-0.7168191075325012,4.905366599559784
"N,N,N',N'-Tetramethyl-p-phenylenediamine",CN(C)c1ccc(N(C)C)cc1,RO2*,,,780000000.0,,,,,,,Journal Tables 6 and 7,True,-5.144876956939697,0.27571749687194824,5.4205944538116455
"3,3'-Thiodipropionic acid",O=C(O)CCSCCC(=O)O,RO2*,,,500000000.0,,,,,,,Journal Tables 6 and 7,True,-6.754308223724365,-0.5093684792518616,6.244939744472504
Tryptophan,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,RO2*,,,17000000.0,,,,,,,Journal Tables 6 and 7,True,-5.706926345825195,-0.6842088103294373,5.022717535495758
"6-Hydroxy-2,5,7,8-tetramethylchroman-2-carboxylate ion",Cc1c(C)c(O)c2c(c1C)OC(C)(C(=O)[O-])CC2,RO2*,,,37000000.0,,,,,,,Journal Tables 6 and 7,True,-5.810164928436279,-0.9196951985359192,4.89046972990036
