Chemical Name,SMILES,Radical Name,Enthalpy,Activation Energy,k_value,Temperature,Bond Dissociation Energy,Chemical Group,Reaction Type/Pathway,PH,No,Resource:
Pentabromoplatinate(III) ion,[Br][Pt+3]([Br])([Br])([Br])[Br],RO2*,,,250000000.00,,,,,,,Journal Tables 6 and 7
Copper(I) ion,[Cu+],RO2*,,,1000000000.00,,,,,,,Journal Tables 6 and 7
"2,2'-Azinobis(3-ethylbenzothiazoline-6-sulfonate ion)",CCn1/c(=N\N=c2\sc3cc(S(=O)(=O)[O-])ccc3n2CC)sc2cc(S(=O)(=O)[O-])ccc21,RO2*,,,1800000000.00,,,,,,,Journal Tables 6 and 7
"2,6-Di-tert-butyl-4-methoxyphenol",COc1cc(C(C)(C)C)cc(C(C)(C)C)c1O,RO2*,,,110000.00,,,,,,,Journal Tables 6 and 7
"2,6-Di-tert-butyl-4-methylphenol",Cc1cc(C(C)(C)C)cc(C(C)(C)C)c1O,RO2*,,,24000.00,,,,,,,Journal Tables 6 and 7
"3,4-Dihydro-6-hydroxy-5,7,8-trimethylbenzothiopyran",Cc1c(C)c(O)c2c(c1C)SCCC2,RO2*,,,1800000.00,,,,,,,Journal Tables 6 and 7
"1-Ethyl-1,2,3,4-tetrahydro-6-hydroxy-5,7,8-trimethylquinoline",CCN1CCCc2c(C)c(O)c(C)c(C)c21,RO2*,,,2000000.00,,,,,,,Journal Tables 6 and 7
"2,2,5,7,8-Pentamethylbenzopyran-6-ol",CC1=CC(C)(C)Oc2c1cc(O)c(C)c2C,RO2*,,,2000000.00,,,,,,,Journal Tables 6 and 7
"4-Methoxy-2,3,5,6-tetramethylphenol",COc1c(C)c(C)c(O)c(C)c1C,RO2*,,,280000.00,,,,,,,Journal Tables 6 and 7
"2,3,5,6-Tetramethylphenol",Cc1cc(C)c(C)c(O)c1C,RO2*,,,69000.00,,,,,,,Journal Tables 6 and 7
